category_name,subcategory_or_tool,tool_title,tool_url,sku_count,sku_list,variant_count,variants_json
Corner Flushers,Direct Corner Flusher,Direct Corner Flusher,https://www.columbiatools.com/columbia-tools/corner-flushers/direct-corner-flusher/,5,2.5DF | 3DF | 3.5DF | 4DF | 3WTDF,5,"[{""label"": ""2.5\"""", ""sku"": ""2.5DF""}, {""label"": ""3\"""", ""sku"": ""3DF""}, {""label"": ""3.5\"""", ""sku"": ""3.5DF""}, {""label"": ""4\"""", ""sku"": ""4DF""}, {""label"": ""3\"""", ""sku"": ""3WTDF""}]"
Corner Flushers,Combo Flusher,Combo Flusher,https://www.columbiatools.com/columbia-tools/corner-flushers/combo-flusher/,4,2.5CSF | 3CSF | 3.5CSF | 3WTCSF,4,"[{""label"": ""2.5\"""", ""sku"": ""2.5CSF""}, {""label"": ""3\"""", ""sku"": ""3CSF""}, {""label"": ""3.5\"""", ""sku"": ""3.5CSF""}, {""label"": ""3\"""", ""sku"": ""3WTCSF""}]"
Semi Automatic Taper,Semi Automatic Taper,Semi Automatic Taper,https://www.columbiatools.com/columbia-tools/semi-automatic-taper/semi-automatic-taper/,1,SAT,1,"[{""label"": ""Semi Automatic Taper"", ""sku"": ""SAT""}]"
Sanders,Sander Head,Sander Head,https://www.columbiatools.com/columbia-tools/sanders/sander-head/,2,CS | CSH,2,"[{""label"": ""CS"", ""sku"": ""CS""}, {""label"": ""CSH"", ""sku"": ""CSH""}]"
Sanders,The Phantom Sander,The Phantom Sander,https://www.columbiatools.com/columbia-tools/sanders/the-phantom-sander/,1,PDDM,1,"[{""label"": ""The Phantom Sander"", ""sku"": ""PDDM""}]"
Applicators,External Corner Applicator,External Corner Applicator,https://www.columbiatools.com/columbia-tools/applicators/external-corner-applicator/,1,CEXT90,1,"[{""label"": ""External Corner Applicator"", ""sku"": ""CEXT90""}]"
Applicators,Inside Corner Applicator,Inside Corner Applicator,https://www.columbiatools.com/columbia-tools/applicators/inside-corner-applicator/,2,ICA2-1 | ICA4-1,2,"[{""label"": ""2\"""", ""sku"": ""ICA2-1""}, {""label"": ""4\"""", ""sku"": ""ICA4-1""}]"
Applicators,Two Way Internal Corner Applicator,Two Way Internal Corner Applicator,https://www.columbiatools.com/columbia-tools/applicators/two-way-internal-corner-applicator/,1,ICATW,1,"[{""label"": ""Two Way Internal Corner Applicator"", ""sku"": ""ICATW""}]"
Applicators,Flat Applicators,Flat Applicators,https://www.columbiatools.com/columbia-tools/applicators/flat-applicators/,1,CFLT,1,"[{""label"": ""Flat Applicators"", ""sku"": ""CFLT""}]"
Handles,Columbia One,Columbia One,https://www.columbiatools.com/columbia-tools/handles/columbia-one/,3,C1H | C1HEXT | C1HS,3,"[{""label"": ""1\"""", ""sku"": ""C1H""}, {""label"": ""1\"""", ""sku"": ""C1HEXT""}, {""label"": ""1\"""", ""sku"": ""C1HS""}]"
Handles,The Matrix Box Handles,The Matrix Box Handles,https://www.columbiatools.com/columbia-tools/handles/the-matrix-box-handles/,3,MHS | MH | MHL,3,"[{""label"": ""29\"""", ""sku"": ""MHS""}, {""label"": ""39\"""", ""sku"": ""MH""}, {""label"": ""40\"""", ""sku"": ""MHL""}]"
Handles,Long Extendible Handle,Long Extendible Handle,https://www.columbiatools.com/columbia-tools/handles/long-extendible-handle/,1,CHXL,1,"[{""label"": ""Long Extendible Handle"", ""sku"": ""CHXL""}]"
Handles,Closet Monster Flat Box Handle,Closet Monster Flat Box Handle,https://www.columbiatools.com/columbia-tools/handles/closet-monster-flat-box-handle/,0,,0,[]
Handles,Twist Lock Handle,Twist Lock Handle,https://www.columbiatools.com/columbia-tools/handles/twist-lock-handle/,1,TL3-8,1,"[{""label"": ""Twist Lock Handle"", ""sku"": ""TL3-8""}]"
Handles,Flat Box Handle,Flat Box Handle,https://www.columbiatools.com/columbia-tools/handles/flat-box-handle/,0,,0,[]
Compound Tubes,Compound Tubes,Compound Tubes,https://www.columbiatools.com/columbia-tools/compound-tubes/compound-tubes/,4,CMT24 | CMT32 | CMT42 | CMT55,4,"[{""label"": ""24\"""", ""sku"": ""CMT24""}, {""label"": ""32\"""", ""sku"": ""CMT32""}, {""label"": ""42\"""", ""sku"": ""CMT42""}, {""label"": ""55\"""", ""sku"": ""CMT55""}]"
