"attachment_id","schematic_id","brand","model_number","model_name","part_count","notes","product_ids"
"","columbia-tomahawk-smoothing-blade-sch","Columbia Tools","COLTOMAHAWKSMOOTHINGBLADE","Columbia Tomahawk Smoothing Blade","9","dir_map=SmoothingBlades/TomahawkSmoothingBlades; catalog=wc-product-export-current.csv; dir_map=SmoothingBlades/TomahawkSmoothingBlades; catalog=wc-product-export-current.csv; normalized_from=columbia-tomahawk-schematic-2022; slug=columbia-tomahawk-smoothing-blade; sku=COLTOMAHAWKSMOOTHINGBLADE",""
"","platinum-50-corner-roller-handle-sch","Platinum Drywall Tools","PTCRH50","Platinum 50"" Corner Roller Handle","4","parent_map=Platinum/Schematics/CornerRollerHandle->PTCRH50; catalog=dtb_woocommerce_official_catalog_optimized.csv; normalized_from=platinum-platinum-corner-roller-handle-page-001; slug=platinum-50-corner-roller-handle; sku=PTCRH50",""
"","platinum-flat-finishing-box-sch","Platinum Drywall Tools","PTFB","Platinum Flat Finishing Box","0","parent_map=Platinum/Schematics/FlatBox->PTFB; catalog=dtb_woocommerce_official_catalog_optimized.csv; normalized_from=platinum-flat-box; slug=platinum-flat-finishing-box; sku=PTFB",""
"","platinum-outside-90-degree-corner-roller-sch","Platinum Drywall Tools","PTOCR","Platinum Outside 90 Degree Corner Roller","13","parent_map=Platinum/Schematics/OutsideCornerRoller->PTOCR; catalog=dtb_woocommerce_official_catalog_optimized.csv; normalized_from=platinum-outside-corner-roller; slug=platinum-outside-90-degree-corner-roller; sku=PTOCR",""
"","platinum-drywall-pump-w-filler-sch","Platinum Drywall Tools","PTCP","Platinum Drywall Pump w/Filler","0","parent_map=Platinum/Schematics/CompoundPump->PTCP; catalog=dtb_woocommerce_official_catalog_optimized.csv; normalized_from=platinum-compound-pump; slug=platinum-drywall-pump-w-filler; sku=PTCP",""
"","tapetech-tapetech-lock-block-for-07tt-050212f-sch","TapeTech","050212F","TapeTech Lock Block for 07TT","326","parent_map=TapeTech/Schematics/07TT->TT-EASYCLEAN-AUTOMATIC-TAPER; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; normalized_from=tapetech-07tt-sch-v11; slug=tapetech-tapetech-lock-block-for-07tt-050212f; sku=050212F",""
"","tapetech-90-inside-corner-edger-tapetech-17tt-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","20","source=TapeTech\Schematics\17TT\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png|tapetech-90-inside-corner-edger-schematic-page-002.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-90-inside-corner-edger-tapetech-20ttx-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","53","source=TapeTech\Schematics\20TTX\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-90-inside-corner-edger-tapetech-25ttx-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","53","source=TapeTech\Schematics\25TTX\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png|tapetech-90-inside-corner-edger-schematic-page-002.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-90-inside-corner-edger-tapetech-30ttx-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","52","source=TapeTech\Schematics\30TTX\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-corner-applicator-tapetech-35tt-sch","TapeTech","TTCORNERAPPLICATOR","TapeTech Corner Applicator","38","parent_map=TapeTech/Schematics/35TT->TT-CORNER-FINISHER; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; parent_map=TapeTech/Schematics/35TT->TT-CORNER-APPLICATOR; rationale=Tapetech FHTT docs current 35TT/50TT corner applicators; normalized_from=tapetech-35tt-sch; slug=tapetech-corner-applicator; sku=TTCORNERAPPLICATOR",""
"","tapetech-90-inside-corner-edger-tapetech-40tt-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","18","source=TapeTech\Schematics\40TT\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png|tapetech-90-inside-corner-edger-schematic-page-002.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-90-inside-corner-edger-tapetech-42tt-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","23","source=TapeTech\Schematics\42TT\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png|tapetech-90-inside-corner-edger-schematic-page-002.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-90-inside-corner-edger-tapetech-45tt-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","20","source=TapeTech\Schematics\45TT\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-90-inside-corner-edger-tapetech-48tt-sch","TapeTech","TTSIDECORNEREDGER","TapeTech 90° Inside Corner Edger","29","source=TapeTech\Schematics\48TT\schematic_data.json; images=tapetech-90-inside-corner-edger-schematic-page-001.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-corner-applicator-tapetech-50tt-sch","TapeTech","TTCORNERAPPLICATOR","TapeTech Corner Applicator","32","parent_map=TapeTech/Schematics/50TT->TT-CORNER-APPLICATOR; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; normalized_from=tapetech-50tt-sch; slug=tapetech-corner-applicator; sku=TTCORNERAPPLICATOR",""
"","tapetech-easyclean-nail-spotter-tapetech-63tt-sch","TapeTech","TTEASYCLEANNAILSPOTTER","TapeTech EasyClean® Nail Spotter","41","source=TapeTech\Schematics\63TT\schematic_data.json; images=tapetech-easyclean-nail-spotter-schematic-page-001.png|tapetech-easyclean-nail-spotter-schematic-page-002.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-easyclean-nail-spotter-tapetech-68tt-sch","TapeTech","TTEASYCLEANNAILSPOTTER","TapeTech EasyClean® Nail Spotter","44","source=TapeTech\Schematics\68TT\schematic_data.json; images=tapetech-easyclean-nail-spotter-schematic-page-001.png; map_source=woocommerce_catalog_production.csv",""
"","tapetech-flat-box-handle-sch","TapeTech","TTFLATBOXHANDLE","TapeTech Flat Box Handle","23","parent_map=TapeTech/Schematics/8054TT->TT-FLAT-BOX-HANDLE; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; normalized_from=tapetech-8054tt-sch; slug=tapetech-flat-box-handle; sku=TTFLATBOXHANDLE",""
