Import complete! 2,874 products updated. 767 products were skipped. Failed to import 181 products. View import log. File uploaded: product-wp-catalog-x4aksntfxl.csv
Product	Reason for failure
Columbia Adjuster Dial Assembly 12" (FFB12), SKU FFB12	No matching product exists to update.
Columbia Angle Box Hinge Seal - CFB1A (CFB-1A), SKU CFB-1A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Angle Box Nylatron Bushing (CFB-19), SKU CFB-19	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Angle Head Ball Adapter (AHA), SKU AHA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/aha_0.webp. Error: Not Found
Columbia Angle Head Side Blade (AH4), SKU AH4	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah4_0.webp. Error: Not Found
Columbia Automatic Taper (TAPER), SKU TAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/taper_0.webp. Error: Not Found
Columbia Box Handle 180 Grip Plate (BH2), SKU BH2	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh2_0.webp. Error: Not Found
Columbia Box Handle Cam Follower - BH7 (BH07), SKU BH07	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh07_0.webp. Error: Not Found
Columbia Automatic Box Air Valve Assembly (AB54), SKU AB54	No matching product exists to update.
Columbia Automatic Box End Plate Left (AB3A LEFT), SKU AB3A LEFT	No matching product exists to update.
Columbia Automatic Box End Plate Right (AB3A RIGHT), SKU AB3A RIGHT	No matching product exists to update.
Columbia Automatic Box Handle Body (AB1), SKU AB1	No matching product exists to update.
Columbia Automatic Box Pressure Spring (AB50), SKU AB50	No matching product exists to update.
Columbia Automatic Box Release Clip (AB51), SKU AB51	No matching product exists to update.
Columbia Automatic Box Thumb Valve Seat (AB52), SKU AB52	No matching product exists to update.
Columbia Automatic Taper (TAPER), SKU TAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/taper_0.webp. Error: Not Found
Columbia Box Handle 180 Grip Plate (BH2), SKU BH2	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh2_0.webp. Error: Not Found
Columbia Box Handle Cam Follower - BH7 (BH07), SKU BH07	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh07_0.webp. Error: Not Found
Columbia Box Handle Hinge Pin (BH6), SKU BH6	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Box Handle Mounting Plate (BH01), SKU BH01	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh01_0.webp. Error: Not Found
Columbia Box Handle Thumb Screw (180 Degree Handle) (809011-A2), SKU 809011-A2	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Box Handle Upper Mounting Bracket - BH5 (BH-5), SKU BH-5	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Carbon Fiber Automatic Taper (PTAPER), SKU PTAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ptaper_0.webp. Error: Not Found
Columbia Closet Monster 18" Flat Box Handle (CMH), SKU CMH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cmh_0.webp. Error: Not Found
Columbia Compound Tube Filler Adaptor (CLTBF), SKU CLTBF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cltbf_0.webp. Error: Not Found
Columbia Corner Cobra Adjustable Inside & Outside Corner Roller (CC), SKU CC	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cc_0.webp. Error: Not Found
Columbia Corner Roller Handle Mounting Swivel (CR6), SKU CR6	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cr6_0.webp. Error: Not Found
Columbia Cover Plate Assembly (CTA-87), SKU CTA-87	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Cover Plate Cork Seal (CT-87CS), SKU CT-87CS	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Creaser Return Spring (050081F-A), SKU 050081F-A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia CT128 - Taper Shaft Guide Strap (50229-A), SKU 50229-A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia CT129A - Taper Strap Bracket (50232-A), SKU 50232-A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia CT129B - Taper Sleeve (Plastic Roller) (50226-A), SKU 50226-A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia CT27 - Taper Knife Guide Bracket Left (50141-A), SKU 50141-A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia CT28 - Taper Roller Bushing (CT-28), SKU CT-28	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Direct Plate - Flusher (CF1B), SKU CF1B	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cf1b_0.webp. Error: Not Found
Columbia Drywall Taping Tools 7” Hinged Flat Finisher Box (7FFB), SKU 7FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/7ffb_0.webp. Error: Not Found
