Import complete! 815 products imported. 180 variations imported. Failed to import 137 products. View import log. File uploaded: product-wp-catalog-mlef4muyns.csv
Product	Reason for failure
Stopnut 3-48 Hex., Nyloc, S.S., SKU 059060	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059060.webp. Error: Not Found
Valve Spring, SKU 059061F	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059061f.webp. Error: Not Found
Key Ring, .875 Diameter, SKU 059067	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059067.webp. Error: Not Found
Stopnut, 8-32 Hex, Elas., S.S., SKU 059074	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059074.webp. Error: Not Found
Screw 8-32 X 1/4 Fil. Hd. S.S, SKU 059085	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059085.webp. Error: Not Found
Screw 6-32 X 1/2 Slotted Fil. Hd., S.S., SKU 059091	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059091.webp. Error: Not Found
Screw 8-32 X 1-1/2, Slotted Rd. Hd., S.S, SKU 059092	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059092.webp. Error: Not Found
Shim, Side Plate, SKU 059098	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059098.webp. Error: Not Found
Screw 4-40 X 1/8 Sltd Fl Hd SST., SKU 059106	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059106.webp. Error: Not Found
Screw 6-32 X 1/4 Fl. Hd. SST., SKU 059107	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059107.webp. Error: Not Found
Pin, Drive Dog Holder, SKU 059119	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059119.webp. Error: Not Found
Axle, Drive Dog, SKU 059120	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059120.webp. Error: Not Found
Pin, Cutter Block, SKU 059129	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059129.webp. Error: Not Found
Screw 4-40 X 3/8 Fil. Hd. S.S, SKU 059161	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059161.webp. Error: Not Found
#6 Ext. Washer, SKU 059164	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059164.webp. Error: Not Found
Nut 1/4 - 20 Heavy Hex. S.S 303, SKU 059206	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/059206.webp. Error: Not Found
