sku,type,product_name,image_count,images_applied
COL-PREDATOR-MATRIX-BOX-HDL,variable,Columbia Predator Matrix Box Handle,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-e-clip-for-matrix-handle-FA379-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-8-e-clip-for-matrix-h
PMHS,variation,Columbia Predator Matrix Box Handle,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-e-clip-for-matrix-handle-FA379-01.webp
PMH,variation,Columbia Predator Matrix Box Handle,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-e-clip-for-matrix-handle-FA379-01.webp
PMHL,variation,Columbia Predator Matrix Box Handle,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-e-clip-for-matrix-handle-FA379-01.webp
PC1H,simple,Columbia Predator Columbia One Handle (PC1H),10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-one-predator-taper-PTAPER-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-one-predator-taper-PTAPER-02.web
PTS,simple,Columbia Predator Tactical Set,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-predator-tactical-set-PTS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tactical-set-TS-01.webp
12-4.7-0.7-G-C,variation,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing T,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-trowels-12-inch-gold-finishing-trowel-12-4.7-0.7-G-C-01.webp
18-4.7-0.7-G-C,variation,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing T,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-trowels-18-gold-finishing-trowel-18-4-7-0-7-G-C-01.webp
HMP,simple,Columbia Mud Pump (HMP),1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tall-boy-mud-pump-TBMP-01.webp
SBCASEM,simple,Columbia Sabre Blade Case (Medium),1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
COL-SSB,variable,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-bla
SSB7,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB10,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
