Catalog,SKU,Type,Name,Image,Filename,Reason,Action,LocalPath
products\Production\launch\wc-product-export-current.csv,4-630,simple,LEVEL5 The Starter Taping Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_760_01.webp,level5_4_760_01.webp,min_corner_mean=147.9;min_channel=144.7;corner_spread=107.1,removed,products\Production\launch\launch_images\level5_4_760_01.webp
products\Production\launch\wc-product-export-current.csv,4-630,simple,LEVEL5 The Starter Taping Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_777_01.webp,level5_4_777_01.webp,min_corner_mean=138.5;min_channel=137.7;corner_spread=116.5,removed,products\Production\launch\launch_images\level5_4_777_01.webp
products\Production\launch\wc-product-export-current.csv,4-677P,simple,LEVEL5 The Ultimate Taping & Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_677p_01.webp,level5_4_677p_01.webp,min_corner_mean=181.4;min_channel=175.2;corner_spread=42.5,removed,products\Production\launch\launch_images\level5_4_677p_01.webp
products\Production\launch\wc-product-export-current.csv,4-677P,simple,LEVEL5 The Ultimate Taping & Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_760_01.webp,level5_4_760_01.webp,min_corner_mean=147.9;min_channel=144.7;corner_spread=107.1,removed,products\Production\launch\launch_images\level5_4_760_01.webp
products\Production\launch\wc-product-export-current.csv,4-677P,simple,LEVEL5 The Ultimate Taping & Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_733_01.webp,level5_4_733_01.webp,min_corner_mean=161.8;min_channel=161.4;corner_spread=93.2,removed,products\Production\launch\launch_images\level5_4_733_01.webp
products\Production\launch\wc-product-export-current.csv,4-677P,simple,LEVEL5 The Ultimate Taping & Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_734_01.webp,level5_4_734_01.webp,min_corner_mean=150.7;min_channel=150.1;corner_spread=104.3,removed,products\Production\launch\launch_images\level5_4_734_01.webp
products\Production\launch\wc-product-export-current.csv,4-677P,simple,LEVEL5 The Ultimate Taping & Finishing Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_5_623_01.webp,level5_5_623_01.webp,min_corner_mean=124.3;min_channel=123.4;corner_spread=125.9,removed,products\Production\launch\launch_images\level5_5_623_01.webp
products\Production\launch\wc-product-export-current.csv,PT-CF2.5,variation,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_02.webp,platinum_pt_cf2_5_02.webp,min_corner_mean=201.1;min_channel=199.4;corner_spread=53.9,kept_no_white_replacement,products\Production\launch\launch_images\platinum_pt_cf2_5_02.webp
products\Production\launch\wc-product-export-current.csv,PT-CF2.5,variation,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_05.webp,platinum_pt_cf2_5_05.webp,min_corner_mean=193.9;min_channel=191.2;corner_spread=59.9,kept_no_white_replacement,products\Production\launch\launch_images\platinum_pt_cf2_5_05.webp
products\Production\launch\wc-product-export-current.csv,PT-CF2.5,variation,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_01.webp,platinum_pt_cf2_5_01.webp,min_corner_mean=201.5;min_channel=199.8;corner_spread=53.5,kept_no_white_replacement,products\Production\launch\launch_images\platinum_pt_cf2_5_01.webp
products\Production\launch\wc-product-export-current.csv,PT-CF2.5,variation,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_03.webp,platinum_pt_cf2_5_03.webp,min_corner_mean=201.0;min_channel=199.1;corner_spread=54.0,kept_no_white_replacement,products\Production\launch\launch_images\platinum_pt_cf2_5_03.webp
products\Production\launch\wc-product-export-current.csv,PT-CF2.5,variation,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_04.webp,platinum_pt_cf2_5_04.webp,min_corner_mean=202.9;min_channel=201.5;corner_spread=52.1,kept_no_white_replacement,products\Production\launch\launch_images\platinum_pt_cf2_5_04.webp
products\Production\launch\wc-product-export-current.csv,PT-CT24,variation,"Platinum Compound Tube - 24""",https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_ct24_02.webp,platinum_pt_ct24_02.webp,min_corner_mean=198.1;min_channel=196.2;corner_spread=56.9,kept_no_white_replacement,products\Production\launch\launch_images\platinum_pt_ct24_02.webp
