schematic_id,source_json,old_name,new_name
columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,Columbia/Schematics/Handles/MatrixBoxHandle/ExtensionHousing/schematic_data.json,EXTENSION-HOUSING-SCHEMATIC-1.webp,columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch-schematic-page-01.webp
columbia-matrix-box-handle-matrixboxhandle-head-sch,Columbia/Schematics/Handles/MatrixBoxHandle/Head/schematic_data.json,MATRIX-HEAD-SCHEMATIC.webp,columbia-matrix-box-handle-matrixboxhandle-head-sch-schematic-page-01.webp
columbia-matrix-box-handle-matrixboxhandle-lever-sch,Columbia/Schematics/Handles/MatrixBoxHandle/Lever/schematic_data.json,MATRIX-LEVER-1-SCHEMATIC.webp,columbia-matrix-box-handle-matrixboxhandle-lever-sch-schematic-page-01.webp
columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch,Columbia/Schematics/Handles/MatrixBoxHandle/Pinchbox/schematic_data.json,MATRIX-PINCHBOX-1-SCHEMATIC.webp,columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch-schematic-page-01.webp
columbia-mud-pump-sch,Columbia/Schematics/Pumps/MudPump/schematic_data.json,MUD-PUMP-SCHEMATIC.webp,columbia-mud-pump-sch-schematic-page-01.webp
columbia-mud-pump-sch-2,Columbia/Schematics/Pumps/TallBoyMudPump/schematic_data.json,TALL-BOY-MUD-PUMP-SCHEMATIC.webp,columbia-mud-pump-sch-2-schematic-page-01.webp
columbia-nail-spotter-sch,Columbia/Schematics/Nailspotters/Nailspotter/schematic_data.json,NAIL-SPOTTER-SCHEMATIC.webp,columbia-nail-spotter-sch-schematic-page-01.webp
columbia-one-handle-4-8-long-extendible-chxl-sch,Columbia/Schematics/Handles/LongExtendableHandle/schematic_data.json,EXTENDABLE-HANDLE-SCHEMATIC.webp,columbia-one-handle-4-8-long-extendible-chxl-sch-schematic-page-01.webp
columbia-one-handle-sch,Columbia/Schematics/Handles/ColumbiaOne/schematic_data.json,COLUMBIA-ONE-SCHEMATIC.webp,columbia-one-handle-sch-schematic-page-01.webp
columbia-outside-corner-roller-sch,Columbia/Schematics/CornerRollers/StandardOutsideCornerRoller/schematic_data.json,OUTSIDECORNERROLLERS-2016-1-SCHEMATIC.webp,columbia-outside-corner-roller-sch-schematic-page-01.webp
columbia-semi-automatic-taper-sat-sch,Columbia/Schematics/SemiAutomaticTapers/SemiAutomaticTaper/schematic_data.json,SEMI-AUTOMATIC-TAPER-SCHEMATIC.webp,columbia-semi-automatic-taper-sat-sch-schematic-page-01.webp
columbia-standard-flusher-sch,Columbia/Schematics/CornerFlushers/StandardCornerFlusher/schematic_data.json,3.5INCH-CORNER-FLUSHER-SCHEMATIC.webp,columbia-standard-flusher-sch-schematic-page-01.webp
columbia-throttle-box-sch,Columbia/Schematics/CornerBoxes/ThrottleBox/schematic_data.json,CORNER-BOX-SCHEMATIC.webp,columbia-throttle-box-sch-schematic-page-01.webp
columbia-tomahawk-smoothing-blade-sch,Columbia/Schematics/SmoothingBlades/TomahawkSmoothingBlades/schematic_data.json,TOMAHAWK-SCHEMATIC.webp,columbia-tomahawk-smoothing-blade-sch-schematic-page-01.webp
platinum-50-corner-roller-handle-sch,Platinum/Schematics/CornerRollerHandle/schematic_data.json,PLATINUM-CORNER-ROLLER-HANDLE-PAGE-01.png,platinum-50-corner-roller-handle-sch-schematic-page-01.png

UNMATCHED schematic_id,source_json,title,needed_pages,picked,detail
tapetech-tapetech-lock-block-for-07tt-050212f-sch,TapeTech/Schematics/07TT/schematic_data.json,07TT-SCH-V11,4,0,top_score=1.066
platinum-drywall-pump-w-filler-sch,Platinum/Schematics/CompoundPump/schematic_data.json,PT-COMPOUND-PUMP-SCH,1,0,top_score=0.000
