Import complete! 27 products imported. 27 variations imported. Failed to import 281 products. View import log. File uploaded: product-dtb_woocommerce_official_catalog_optimized-hklsnwn5og.csv
Product	Reason for failure
Columbia Predator Matrix Handle - Long 56"-76", SKU PMHL	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-col-predator-matrix-box-handle-01.webp. Error: Not Found
Columbia Automatic Taper, SKU COL-AUTOMATIC-TAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-taper-01.webp. Error: Not Found
Columbia Automatic Taper - Standard 53", SKU TAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-taper-01.webp. Error: Not Found
Columbia Automatic Taper - Predator Carbon Fiber 53", SKU PTAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-ptaper-01.webp. Error: Not Found
Columbia Automatic Taper - Sawed Off 39", SKU STAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-staper-03.webp. Error: Not Found
Columbia Automatic Taper - Predator Sawed Off Carbon Fiber 39", SKU SPTAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-sptaper-01.webp. Error: Not Found
Columbia Tool Set, SKU COL-TOOL-SET	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-ts-01.webp. Error: Not Found
Columbia Tool Set - Tactical Set, SKU TS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-ts-01.webp. Error: Not Found
Columbia Tool Set - Predator Tactical Set, SKU PTS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-pts-01.webp. Error: Not Found
Columbia Tool Set - Commando Set, SKU SACS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-sacs-01.webp. Error: Not Found
Columbia Tool Set - Warrior Set, SKU TWS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tws-01.webp. Error: Not Found
Columbia Tool Case, SKU COL-TOOL-CASE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tcs-01.webp. Error: Not Found
Columbia Tool Case - Gun Case, SKU TCS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tcs-01.webp. Error: Not Found
Columbia Tool Case - Road Case, SKU RC	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-rc-01.webp. Error: Not Found
TapeTech EasyClean® Automatic Taper, SKU TT-EASYCLEAN-AUTOMATIC-TAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-03tt-01.webp. Error: Not Found
TapeTech EasyClean® Automatic Taper - Mini-Taper 40.5", SKU 03TT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-03tt-01.webp. Error: Not Found
TapeTech EasyClean® Automatic Taper - Standard, SKU 07TT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-07tt-01.webp. Error: Not Found
TapeTech EasyClean® Automatic Taper - Carbon Fiber, SKU 07TT-C	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-07ttc-01.webp. Error: Not Found
TapeTech Corner Roller, SKU TT-CORNER-ROLLER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-15tte-01.webp. Error: Not Found
TapeTech Corner Roller - Inside Corner, SKU 15TTE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-15tte-01.webp. Error: Not Found
TapeTech Corner Roller - Outside Corner, SKU 17TT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-17tt-01.webp. Error: Not Found
TapeTech Corner Roller - Flex Tape Outside Corner, SKU 17TTE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-17tte-01.webp. Error: Not Found
TapeTech Applicator Head, SKU TT-APPLICATOR-HEAD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-16tt-01.webp. Error: Not Found
TapeTech Applicator Head - Outside Corner, SKU 16TT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-16tt-01.webp. Error: Not Found
TapeTech Applicator Head - Inside Corner, SKU 16TT90	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-16tt90-01.webp. Error: Not Found
TapeTech Cove Applicator Head, SKU TT-COVE-APPLICATOR-HEAD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-ch55tt-01.webp. Error: Not Found
