action,from,to,note
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EHC12-AD\images\EHC12-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EHC12-AD\images\EHC12-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EZ07-AD\images\EZ07-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EZ07-AD\images\EZ07-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EZ10-AD\images\EZ10-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EZ10-AD\images\EZ10-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EZ12-AD\images\EZ12-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EZ12-AD\images\EZ12-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\PA07-AD\images\PA07-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\PA07-AD\images\PA07-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\PA10-AD\images\PA10-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\PA10-AD\images\PA10-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\PA12-AD\images\PA12-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\PA12-AD\images\PA12-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\BBH-AD\images\BBH-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\BBH-AD\images\BBH-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\BBHE-AD\images\BBHE-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\BBHE-AD\images\BBHE-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\BBHE-AD\images\BBHE-AD-SCH-PAGE-002.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\BBHE-AD\images\BBHE-AD-SCHEMATIC-PAGE-002.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\FBHE-AD\images\FBHE-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\FBHE-AD\images\FBHE-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\FBHE-AD\images\FBHE-AD-SCH-PAGE-002.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\FBHE-AD\images\FBHE-AD-SCHEMATIC-PAGE-002.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\FH-AD\images\FH-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\FH-AD\images\FH-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\XH-AD\images\XH-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Handles\XH-AD\images\XH-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Other\GN01-AD\images\GN01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Other\GN01-AD\images\GN01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Pumps\LP01-AD\images\LP01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Pumps\LP01-AD\images\LP01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Rollers\CR01-AD\images\CR01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Rollers\CR01-AD\images\CR01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Spotters\NS03-AD\images\NS03-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Spotters\NS03-AD\images\NS03-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-002.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-002.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-003.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-003.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-004.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-004.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-005.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-005.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-006.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-006.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-007.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-007.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-008.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-008.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-009.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-009.webp,canonicalize
