sku,brand,name,old_price,old_price_numeric,new_price,new_price_numeric
ttt502h,TapeTech,TapeTech #2 Pump Repair Kit,,,$37.00,37
ttt501c12,TapeTech,12 in TapeTech Flat Box Repair Kit,,,$65.00,65
ttt15ttewoh,TapeTech,TapeTech Inside Corner Roller w/o Handle,,,$185.00,185
ttt48tt,TapeTech,3 in TapeTech EasyRoll Adjustable Corner Finisher,,,$429.00,429
ttt501c10,TapeTech,10 in TapeTech Flat Box Repair Kit,,,$60.00,60
tttca08tt,TapeTech,"8"" Corner Applicator",,,$330.00,330
ttt48xtt,TapeTech,3 1/2 in TapeTech EasyRoll Adjustable Corner Finisher,,,$445.00,445
ttt85tt,TapeTech,TapeTech Gooseneck Adapter,,,$105.00,105
ttt07ttc,TapeTech,CARBON FIBER EasyClean Automatic Taper,,,$2000.00,2000
usg114cdws5,USG Sheetrock Screws,"USG Sheetrock Tools #6 X 1-1/4""  Textured Head, Coarse Thread Drywall Screw w/ TENZ [5LB]",,,$25.00,25
usg114fdws5,USG Sheetrock Screws,"USG Sheetrock Tools 6 X 1-1/4"" Textured Head, Fine Thread Drywall Screw [5LB]",,,$25.00,25
usg2fdws5,USG Sheetrock Screws,"USG Sheetrock Tools #6 X 2"" Textured Head, Fine Thread Drywall Screw [5LB]",,,$28.00,28
usg2cdws5,USG Sheetrock Screws,"USG Sheetrock Tools #6 X 2"" Textured Head, Coarse Thread Drywall Screw w/ TENZ [5LB]",,,$28.00,28
usg158fdws5,USG Sheetrock Screws,"6 X 1-5/8"" Textured Head, Fine Thread Drywall Screw [5LB]",,,$27.00,27
usg158cdws5,USG Sheetrock Screws,"USG Sheetrock Tools #6 X 1-5/8"" Textured Head, Coarse Thread Drywall Screw w/ TENZ [5LB]",,,$27.00,27
wal21020,Wal-Board,10 in Wal-Board Blue Steel TH Taping Knife,,,$9.00,9
wal21022,Wal-Board,12 in Wal-Board Blue Steel TH Taping Knife,,,$10.00,10
wal21018,Wal-Board,8 in Wal-Board Blue Steel TH Taping Knife,,,$8.00,8
war10146,Warner,6 in Warner Mexican Heritage Flex Broad Knife w/ Hammer Cap,,,$10.50,10.5
war40126,Warner,6 in Warner American Pride Flex Broad Knife w/ Hammer Cap,,,$10.50,10.5
war90126,Warner,6 in Warner ProGrip Flex Broad Knife w/ Hammer Cap,,,$10.50,10.5
war10145,Warner,5 in Warner Mexican Heritage Flex Broad Knife w/ Hammer Cap,,,$10.00,10
war40125,Warner,5 in Warner American Pride Flex Broad Knife w/ Hammer Cap,,,$10.00,10
war90125,Warner,5 in Warner ProGrip Flex Broad Knife w/ Hammer Cap,,,$10.00,10
war11542,Warner,"Warner 10"" Progrip BS Mexican Heritage Taping Knife",,,$10.50,10.5
