category_name,family_name,family_type,attribute_name,member_count,member_titles,member_urls,variant_count,variants_json
New Releases,Fat Boy Smoothing Blades,single-page-override,Size,1,Fat Boy Smoothing Blades,https://www.columbiatools.com/columbia-tools/smoothing-blades/fatboy-smoothing-blades/,10,"[{""label"": ""7\"""", ""sku"": ""FSB7""}, {""label"": ""10\"""", ""sku"": ""FSB10""}, {""label"": ""12\"""", ""sku"": ""FSB12""}, {""label"": ""14\"""", ""sku"": ""FSB14""}, {""label"": ""16\"""", ""sku"": ""FSB16""}, {""label"": ""18\"""", ""sku"": ""FSB18""}, {""label"": ""24\"""", ""sku"": ""FSB24""}, {""label"": ""32\"""", ""sku"": ""FSB32""}, {""label"": ""40\"""", ""sku"": ""FSB40""}, {""label"": ""48\"""", ""sku"": ""FSB48""}]"
New Releases,Finishing Hawks,single-page,,1,Finishing Hawks,https://www.columbiatools.com/columbia-tools/hand-tools/finishing-hawks/,0,[]
New Releases,Mud Pans,single-page,Size,1,Mud Pans,https://www.columbiatools.com/columbia-tools/hand-tools/mud-pans/,3,"[{""label"": ""12” Columbia Mud Pan 6 Pack"", ""sku"": ""C12MP-6""}, {""label"": ""14” Columbia Mud Pan 6 Pack"", ""sku"": ""C14MP-6""}, {""label"": ""16” Columbia Mud Pan 6 Pack"", ""sku"": ""C16MP-6""}]"
New Releases,Nylon Putty Knives,single-page,Size,1,Nylon Putty Knives,https://www.columbiatools.com/columbia-tools/hand-tools/nylon-putty-knives/,11,"[{""label"": ""1.5″ Nylon Putty Knife"", ""sku"": ""NPK1.5""}, {""label"": ""2″ Nylon Putty Knife"", ""sku"": ""NPK2""}, {""label"": ""3″ Nylon Putty Knife"", ""sku"": ""NPK3""}, {""label"": ""4″ Nylon Putty Knife"", ""sku"": ""NPK4""}, {""label"": ""5″ Nylon Putty Knife"", ""sku"": ""NPK5""}, {""label"": ""6″ Nylon Putty Knife"", ""sku"": ""NPK6""}, {""label"": ""8″ Nylon Putty Knife"", ""sku"": ""NPK8""}, {""label"": ""10″ Nylon Putty Knife"", ""sku"": ""NPK10""}, {""label"": ""3.5″ Pointing Joint Knife"", ""sku"": ""PJK3.5""}, {""label"": ""6″ Clipped Joint Knife"", ""sku"": ""CJK6""}, {""label"": ""9 in 1 Multi Tool"", ""sku"": ""9-1MT""}]"
New Releases,One Piece Putty Knives,single-page,Size,1,One Piece Putty Knives,https://www.columbiatools.com/columbia-tools/hand-tools/nylon-putty-knives-copy/,8,"[{""label"": ""Putty Knives 1.5” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK1.5""}, {""label"": ""2” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK2""}, {""label"": ""3” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK3""}, {""label"": ""4” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK4""}, {""label"": ""5” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK5""}, {""label"": ""6” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK6""}, {""label"": ""8” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK8""}, {""label"": ""10-IN-1” One Piece Multi Tool (stainless steel)"", ""sku"": ""OPPK10-1""}]"
New Releases,Taping Knives,single-page,Size,1,Taping Knives,https://www.columbiatools.com/columbia-tools/hand-tools/one-piece-putty-knives-copy/,4,"[{""label"": ""8” Columbia Taping Knife"", ""sku"": ""CTK8""}, {""label"": ""10” Columbia Taping Knife"", ""sku"": ""CTK10""}, {""label"": ""12” Columbia Taping Knife"", ""sku"": ""CTK12""}, {""label"": ""14” Columbia Taping Knife"", ""sku"": ""CTK14""}]"
New Releases,Three Way Knives,single-page,Size,1,Three Way Knives,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives/,3,"[{""label"": ""4” Three-Way Nylon Handle Putty Knife"", ""sku"": ""3NPK4""}, {""label"": ""5” Three-Way Nylon Handle Putty Knife"", ""sku"": ""3NPK5""}, {""label"": ""6” Three-Way Nylon Handle Putty Knife"", ""sku"": ""3NPK6""}]"
New Releases,Trowels,single-page,Size,1,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,11,"[{""label"": ""12″ GOLD FINISHING TROWEL"", ""sku"": ""12-4.7-0.7-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL"", ""sku"": ""14-4.7-0.7-G-C""}, {""label"": ""16″ GOLD FINISHING TROWEL"", ""sku"": ""16-4.7-0.7-G-C""}, {""label"": ""18″ GOLD FINISHING TROWEL"", ""sku"": ""18-4.7-0.7-G-C""}, {""label"": ""12″ GOLD CURVE TROWEL"", ""sku"": ""12-4.7-0.7-G-C-C""}, {""label"": ""14″ GOLD CURVE TROWEL"", ""sku"": ""14-4.7-0.7-G-C-C""}, {""label"": ""16″ GOLD CURVE TROWEL"", ""sku"": ""16-4.7-0.7-G-C-C""}, {""label"": ""12″ SILVER CURVE TROWEL"", ""sku"": ""12-4.7-0.4-S-C-C""}, {""label"": ""14″ SILVER CURVE TROWEL"", ""sku"": ""14-4.7-0.4-S-C-C""}, {""label"": ""12″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""12-4.3-0.3-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""14-4.3-0.3-G-C""}]"
Pumps,Box Filler,single-page,Size,1,Box Filler,https://www.columbiatools.com/columbia-tools/pumps/box-filler/,2,"[{""label"": ""BF"", ""sku"": ""BF""}, {""label"": ""TBBF"", ""sku"": ""TBBF""}]"
Pumps,Columbia X Graco PowerFill 3.5,single-page,Size,1,Columbia X Graco PowerFill 3.5,https://www.columbiatools.com/columbia-tools/pumps/columbiapowerfill/,2,"[{""label"": ""Columbia PowerFill Pump (comes with box filler)"", ""sku"": ""CPFP""}, {""label"": ""Columbia PowerFill Gooseneck (sold seperately)"", ""sku"": ""CPFGN""}]"
