group_id,canonical_file,file_name,duplicate_type,file_size,width,height,rmse_to_canonical,p999_to_canonical,already_hardlinked
group-0123,tapetech-219092-01.webp,tapetech-219092-02.webp,duplicate,9708,1200,1200,0.292544,5,no
group-0124,tapetech-219095-01.webp,tapetech-219095-01.webp,canonical,3324,900,900,0.0,0,no
group-0124,tapetech-219095-01.webp,tapetech-219095-02.webp,duplicate,3352,900,900,0.212644,3,no
group-0125,tapetech-240032G-01.webp,tapetech-240032G-01.webp,canonical,35530,1200,1200,0.0,0,no
group-0125,tapetech-240032G-01.webp,tapetech-240032G-02.webp,duplicate,35022,1200,1200,0.752942,7,no
group-0126,tapetech-25-129061-01.webp,tapetech-25-129061-01.webp,canonical,11948,1200,1200,0.0,0,no
group-0126,tapetech-25-129061-01.webp,tapetech-25-129061-02.webp,duplicate,11956,1200,1200,0.266274,4,no
group-0127,tapetech-250026F-01.webp,tapetech-250026F-01.webp,canonical,22232,1200,1200,0.0,0,no
group-0127,tapetech-250026F-01.webp,tapetech-250026F-02.webp,duplicate,22250,1200,1200,0.551141,7,no
group-0128,tapetech-260024F-01.webp,tapetech-260024F-01.webp,canonical,21406,1200,1199,0.0,0,no
group-0128,tapetech-260024F-01.webp,tapetech-260024F-02.webp,duplicate,21356,1200,1199,0.55412,7,no
group-0129,tapetech-260071-01.webp,tapetech-260071-01.webp,canonical,17562,1200,1200,0.0,0,no
group-0129,tapetech-260071-01.webp,tapetech-260071-02.webp,duplicate,17606,1200,1200,0.55237,7,no
