Brands,Type,SKU,MPN,Name,Short description,Description
TapeTech,simple,RTS20TT,RTS20TT,"20"" Radius Trowel – Straight","20"" Radius Trowel – Straight","20"" Radius Trowel – Straight"
TapeTech,simple,RTC20TT,RTC20TT,"20"" Radius Trowel – Curved","20"" Radius Trowel – Curved","20"" Radius Trowel – Curved"
TapeTech,simple,RTS26TT,RTS26TT,"26"" Radius Trowel – Straight","26"" Radius Trowel – Straight","26"" Radius Trowel – Straight"
TapeTech,simple,RTC26TT,RTC26TT,"26"" Radius Trowel – Curved","26"" Radius Trowel – Curved","26"" Radius Trowel – Curved"
TapeTech,simple,MP14SSTT,MP14SSTT,"14"" Stainless Steel Mud Pan","14"" Stainless Steel Mud Pan","14"" Stainless Steel Mud Pan"
TapeTech,simple,MP12SSTT,MP12SSTT,"12"" Stainless Steel Mud Pan","12"" Stainless Steel Mud Pan","12"" Stainless Steel Mud Pan"
TapeTech,simple,HAWK002-PS,HAWK002-PS,"13"" x 13"" Premium Anodized Hawk","13"" x 13"" Premium Anodized Hawk","13"" x 13"" Premium Anodized Hawk"
TapeTech,simple,HAWK001-PS,HAWK001-PS,"13"" x 13"" Aluminum Hawk","13"" x 13"" Aluminum Hawk","13"" x 13"" Aluminum Hawk"
TapeTech,simple,SCP02,SCP02,"6.5"" Bucket Scoop","6.5"" Bucket Scoop","6.5"" Bucket Scoop"
TapeTech,simple,PMP001,PMP001,"30"" Premium Mixing Paddle","30"" Premium Mixing Paddle","30"" Premium Mixing Paddle"
TapeTech,simple,MT01TT,MT01TT,"9-in-1 Stainless Steel Multi-tool","9-in-1 Stainless Steel Multi-tool","9-in-1 Stainless Steel Multi-tool"
