part_number,product_name,price,full_image_url,product_url
28,Part #28,0.72,https://durastilt.com/wp-content/uploads/2018/10/1-4-20x1-1-2-Cap-Screw-W-Sq-Nut.webp,https://durastilt.com/product/part-28/
29,Part #29,2.97,https://durastilt.com/wp-content/uploads/2018/10/Tube-Clamp-A.webp,https://durastilt.com/product/part-29/
30,Part #30,3.39,https://durastilt.com/wp-content/uploads/2018/10/Tube-Clamp-B.webp,https://durastilt.com/product/part-30/
31,Part #31,3.03,https://durastilt.com/wp-content/uploads/2018/10/Clamp-Bracket.webp,https://durastilt.com/product/part-31/
32,Part #32,0.71,https://durastilt.com/wp-content/uploads/2018/10/1-1-2-Screw-W-Hex-Nut.webp,https://durastilt.com/product/part-32/
32,1/4-20 X 1 5/8 CAP SCREW WITH LOCKNUT – REAR,0.71,https://durastilt.com/wp-content/uploads/2022/07/REAR-LEG-UNISTRUT-MIN.webp,https://durastilt.com/product/part-32-unistrut/
33,Part #33,1.59,https://durastilt.com/wp-content/uploads/2018/10/Upper-Strut-Tube-Cap-Plug.webp,https://durastilt.com/product/part-33/
35,Part #35,0.29,https://durastilt.com/wp-content/uploads/2018/10/Toe-Harness-Screw-Black.webp,https://durastilt.com/product/part-35/
35.4,Toe Harness Screw – Black,0.29,https://durastilt.com/wp-content/uploads/2018/10/Toe-Harness-Screw-Black.webp,https://durastilt.com/product/part-35-4/
36,Part #36,0.17,https://durastilt.com/wp-content/uploads/2018/10/Strap-Washer.webp,https://durastilt.com/product/part-36/
37,Part #37,0.30,https://durastilt.com/wp-content/uploads/2018/10/8-Sole-Screws-Nylon.webp,https://durastilt.com/product/part-37/
37.4,No 8 X 1/2 Mounting Screw,0.30,https://durastilt.com/wp-content/uploads/2018/10/No-8-X-1-2-Mounting-Screw.webp,https://durastilt.com/product/part-37-4/
42,Part #42,2.35,https://durastilt.com/wp-content/uploads/2018/10/Wing-Bolt.webp,https://durastilt.com/product/part-42/
44,Part #44,2.74,https://durastilt.com/wp-content/uploads/2018/10/Lower-Coil-Spring.webp,https://durastilt.com/product/part-44/
44.1,Part #44.1,3.10,https://durastilt.com/wp-content/uploads/2018/10/Lower-Coil-SpringD-24.webp,https://durastilt.com/product/part-44-1/
