sku,type,image_count,image_files,image_urls
CFB15,variation,1,columbia-corner-flusher-box-repair-parts-CFB15-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB15-01.webp
CFB15A,variation,1,columbia-corner-flusher-box-repair-parts-CFB15A-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB15A-01.webp
CFB16,variation,1,columbia-corner-flusher-box-repair-parts-CFB16-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB16-01.webp
CFB3-7,variation,1,columbia-corner-flusher-box-repair-parts-CFB3-7-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB3-7-01.webp
CFB3-8,variation,1,columbia-corner-flusher-box-repair-parts-CFB3-8-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB3-8-01.webp
CFB4-7,variation,1,columbia-corner-flusher-box-repair-parts-CFB4-7-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB4-7-01.webp
CFB4-8,variation,1,columbia-corner-flusher-box-repair-parts-CFB4-8-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB4-8-01.webp
CFB5B,simple,2,columbia-cone-ball-CFB5B-01.webp | columbia-corner-flusher-box-repair-parts-CFB5B-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cone-ball-CFB5B-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB5B-01.webp
CFB5B__COL-CORNER-FLUSHER-BOX-REPAIR-PARTS,variation,2,columbia-cone-ball-CFB5B-01.webp | columbia-corner-flusher-box-repair-parts-CFB5B-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cone-ball-CFB5B-01.webp
CFB6,variation,1,columbia-corner-flusher-box-repair-parts-CFB6-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB6-01.webp
CFB7-7,variation,1,columbia-corner-flusher-box-repair-parts-CFB7-7-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB7-7-01.webp
CFB7-8,variation,1,columbia-corner-flusher-box-repair-parts-CFB7-8-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB7-8-01.webp
CFB8,variation,1,columbia-corner-flusher-box-repair-parts-CFB8-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB8-01.webp
CFLT,simple,1,columbia-flat-applicators-CFLT-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-flat-applicators-CFLT-01.webp
CHXL,simple,1,columbia-long-extendible-handle-CHXL-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-long-extendible-handle-CHXL-01.webp
CLT24,variation,2,columbia-cam-lock-tube-24-inch-CLT24-01.webp | columbia-cam-lock-tube-24-inch-CLT24-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-tube-24-inch-CLT24-01.webp
CMT24,variation,1,columbia-compound-tubes-24-inch-CMT24-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-compound-tubes-24-inch-CMT24-01.webp
COBCR,simple,1,columbia-standard-outside-corner-roller-COBCR-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-outside-corner-roller-COBCR-01.webp
CPFP,simple,2,columbia-x-graco-powerfill-3-5-columbia-powerfill-pump-comes-with-box-CPFP-01.webp | columbia-x-graco-powerfill-3-5-columbia-powerfill-pump-comes-with-box-CPFP-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-x-graco-powerfill-3-5-columbia-powerfill-pump-comes-with-box-CPFP-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-x-graco-powerfill-3-5-columbia-powerfill-pump-comes-with-box-CPFP-02.webp
CPTA87-CL,variation,1,columbia-cam-lock-taper-cap-assembly-CPTA87-CL-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-taper-cap-assembly-CPTA87-CL-01.webp
CR,simple,1,columbia-inside-corner-roller-CR-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-corner-roller-CR-01.webp
CR-3,variation,1,columbia-corner-roller-repair-parts-CR-3-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-roller-repair-parts-CR-3-01.webp
