"row_index","sku","name","url","status","source_mpn","source_price","note"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"290","FHTTCFA","TapeTech Fiberglass Angle Head Handle (FHTT/CFA)","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"291","FHTTNSA","TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"309","14TT","TapeTech MudRunner®","https://www.all-wall.com/TapeTech-Mudrunner","404","","","fetch_failed"
"309","14TT","TapeTech MudRunner®","https://www.all-wall.com/Mudrunner-Main-Tube","200","140002C","253.39","mpn_mismatch"
"325","CROLL04CG","TapeTech Premium Compound Roller with Frame - 4""","https://www.all-wall.com/TapeTech-CompoundRoller-CROLL04CG","200","","","no_price"
